Rayon,Grp de famille,Famille,Sous famille,DT,DR,Magasin,Barcode,Produit,Assort-typo,Nb jours sans ventes,Motif non détention,Stock UG,SMP,VMH mag,VMH nat,CA TTC mag 3 mois,CA TTC moy 3 mois Market,Potentiel gain mensuel
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320005 - NETTOYANTS MENAGERS,DTF SUD EST,OCCITANIE 2 F,REQUISTA,3077313982061,5L VINAIGRE 14O ECO,DPK-1,329,Dépicking,0,1,null,1.725479351,null,148.27011465,49.42337155
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF SUD EST,OCCITANIE 2 F,REQUISTA,5029053579375,X2 LT BTE THE ORIGINAL KLEENEX,DPK-1,24,Dépicking,0,2,0.7,8.915576923,71.86,309.30489548,103.101631827
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF GRAND OUEST,BRETAGNE F,RIEC S/BELON,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,178,Dépicking,0,1,null,6.954347826,null,352.977193296,117.659064432
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,RHONE ALPES F,RILLIEUX -VILLAGE,3560071080921,X6 PH COMPACT 2P ROSE SIMPL,DPK-1,1,Dépicking,104,10,126.233333333,50.486762936,2377.523,978.902145946,326.300715315
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320005 - NETTOYANTS MENAGERS,DTF SUD EST,RHONE ALPES F,RILLIEUX -VILLAGE,3077313982061,5L VINAIGRE 14O ECO,DPK-1,221,Dépicking,-1,2,null,1.725479351,null,148.27011465,49.42337155
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,RHONE ALPES F,RILLIEUX -VILLAGE,3560070150403,12 RLX P.HYG.3P BLC/BLEU CRF E,DPK-1,1,Dépicking,108,16,96.133333333,36.942417487,5086.135,2057.242020536,685.747340179
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,RHONE ALPES F,RILLIEUX -VILLAGE,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,37,Dépicking,4,6,null,6.954347826,57.686,352.977193296,117.659064432
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320004 - ENTRETIEN DES SANITAIRES,DTF SUD EST,RHONE ALPES F,RILLIEUX -VILLAGE,3665468000329,DESTOP EXPRESS 4 DOSES 950ML,DPK-1,83,Dépicking,1,2,null,5.804062127,43.9,262.512714924,87.504238308
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,RHONE ALPES F,RILLIEUX -VILLAGE,3560070214310,12 RLX P.HYG.3P ROSE CRF ESSEN,DPK-1,1,Dépicking,93,20,35,17.32416368,2395.366,975.325384064,325.108461355
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300005 - INCONTINENCE,DTF NORD EST,AUVERGNE F,RIOM,3560071185688,X14 CULO INCONT.ADULT.M.CRF SF,DPK-1,30,Dépicking,0,1,0.466666667,2.662859796,39.96,340.548536496,113.516178832
03 - D.P.H.,310 - PAPIERS MENAGERS,310 - PAPIERS ET EMBALLAGES MENAGERS,310001 - ESSUIE-TOUT,DTF NORD EST,AUVERGNE F,RIOM,5601028030281,ESSUIE TT RENOVA INSTAGRAM X4,DPK-1,211,Dépicking,null,1,null,11.396421846,null,347.055988816,115.685329605
03 - D.P.H.,315 - PRODUITS DE LAVAGE,"315 - UNIVERS ""LINGE"" - LAVAGE",315005 - U.LINGE SOIN DU LINGE,DTF NORD EST,AUVERGNE F,RIOM,3560071163693,X40 LING.ANTI TRANSF COUL CRF,DPK-1,292,Dépicking,null,2,null,2.646593002,null,120.425307692,40.141769231
03 - D.P.H.,295 - HYGIENE BEBE,295 - HYGIENE BEBE,295007 - HYG BEBE COUCHES ET CULOTTES,DTF NORD EST,AUVERGNE F,RIOM,3560071290955,X36 CUL BEBE XL +16KG CRF BABY,DPK-1,371,Dépicking,null,1,null,2.508333333,null,295.611719635,98.537239878
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF NORD EST,AUVERGNE F,RIOM,3133200056748,6 RLX PH COLLECT AQUAT.LOTUS,DPK-2,650,Dépicking,null,1,null,8.466701066,null,356.274236923,118.758078974
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF NORD EST,NORD 2 F,ROCROI,3133200095037,6RLX PH STYLE MOLT AQUA LOTUS,DPK-2,185,Dépicking,0,1,null,6.289393939,null,325.024963519,108.341654506
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF NORD EST,NORD 2 F,ROCROI,7322540928525,6=12 RLX PH MOLT SS TUBE LOTUS,DPK-2,183,Dépicking,0,1,null,6.749042553,null,642.827756073,214.275918691
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF NORD EST,NORD 2 F,ROCROI,3133200056748,6 RLX PH COLLECT AQUAT.LOTUS,DPK-2,129,Dépicking,0,8,null,8.466701066,null,356.274236923,118.758078974
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF NORD EST,NORD 2 F,ROCROI,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,116,Dépicking,0,1,null,6.954347826,null,352.977193296,117.659064432
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTI PACA,PACA R1 I,ROGNAC,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,249,Dépicking,0,3,null,6.954347826,null,352.977193296,117.659064432
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,PACA 2 F,ROQUEBRUNE C/MARTIN,7322540948318,6XROULEAUX JUST1 XXL LOTUS,DPK-1,190,Dépicking,0,2,null,8.164781145,null,813.845283,271.281761
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,PACA 2 F,ROQUEBRUNE S/ARGENS,3560071264000,PH 8RLX 3PLIS BLANC CRF ESSENT,DPK-1,592,Dépicking,0,1,null,7.264476386,null,361.175335031,120.391778344
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,PACA 2 F,ROQUEBRUNE S/ARGENS,3560071264024,X9 PH 4PLIS BLC EXT CONF CRF E,DPK-1,105,Dépicking,0,1,null,7.197942817,null,415.907615702,138.635871901
03 - D.P.H.,310 - PAPIERS MENAGERS,310 - PAPIERS ET EMBALLAGES MENAGERS,310001 - ESSUIE-TOUT,DTF IDF NORMANDIE,PARIS SUD F,RUEIL MALM -COLMAR,3560071232993,X2 ET 3P XXL ULTRA DECOR.CRF E,DPK-2,634,Dépicking,null,1,null,6.663974877,null,269.64524734,89.881749113
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF NORD EST,CENTRE F.,SALBRIS,3560070809929,24RLX PH 2P ROSE CONFORT CRF E,DPK-4,null,Dépicking,0,4,null,20.355320814,null,1061.42826652,353.809422173
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF NORD EST,CENTRE F.,SALBRIS,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,10,Dépicking,0,1,null,6.954347826,null,352.977193296,117.659064432
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF GRAND OUEST,SUD OUEST F,SALLES,3133200056748,6 RLX PH COLLECT AQUAT.LOTUS,DPK-2,384,Dépicking,null,10,null,8.466701066,null,356.274236923,118.758078974
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF GRAND OUEST,SUD OUEST F,SALLES,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,413,Dépicking,null,5,null,6.954347826,null,352.977193296,117.659064432
03 - D.P.H.,310 - PAPIERS MENAGERS,310 - PAPIERS ET EMBALLAGES MENAGERS,310001 - ESSUIE-TOUT,DTF SUD EST,MRS-AVI F,SALON PROV -CANOURGU,5601028030281,ESSUIE TT RENOVA INSTAGRAM X4,DPK-1,5,Dépicking,-2,1,14.7,11.396421846,582.179,347.055988816,115.685329605
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,MRS-AVI F,SALON PROV -CANOURGU,7322540948318,6XROULEAUX JUST1 XXL LOTUS,DPK-1,40,Dépicking,0,2,null,8.164781145,347.16,813.845283,271.281761
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320010 - ENTRETIEN PRODUITS FEUX,DTF SUD EST,MRS-AVI F,SALON PROV -CANOURGU,3383482306417,96 CUBES ALLUME FEU SANS ODEUR,DPK-1,null,Dépicking,null,1,null,4.382939633,null,233.777970495,77.925990165
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,MRS-AVI F,SALON PROV -CANOURGU,7322540928525,6=12 RLX PH MOLT SS TUBE LOTUS,DPK-2,46,Dépicking,0,1,null,6.749042553,218.95,642.827756073,214.275918691
